,track_name,artist,duration_ms,genres,tempo,loudness,energy,danceability,key,instrumentalness,valence,emotion
0,Alright,Kendrick Lamar,219333,"conscious hip hop, hip hop, rap, west coast rap",110.034,-5.974,0.766,0.796,7,0,0.558,test
1,Congratulations,Post Malone,220293,"dfw rap, melodic rap, pop, rap",123.146,-4.183,0.804,0.63,6,0,0.492,test
2,Wagon Wheel,Darius Rucker,298373,"black americana, contemporary country, country, country road, modern country rock",148.096,-7.174,0.66,0.537,9,0,0.574,test
3,Scar Tissue,Red Hot Chili Peppers,215906,"alternative rock, funk metal, funk rock, permanent wave, rock",88.969,-4.803,0.717,0.595,0,0.00274,0.547,test
4,Amen,Logic,146771,"conscious hip hop, hip hop, pop rap, rap",170.339,-5.748,0.789,0.604,2,0,0.651,test
5,fuck money stay pretty,Black Kray,186826,"cloud rap, plugg, pluggnb",105.5,-13.599,0.669,0.191,8,0.753,0.421,test
6,Los Chismes,Chalino Sanchez,179211,"banda, corrido, corridos clasicos, musica mexicana, norteno, sierreno",121.18,-8.036,0.737,0.779,8,0.000279,0.943,test
7,A RING,TOWA TEI,188133,"japanese jazztronica, shibuya-kei",151.936,-7.719,0.806,0.766,7,0.243,0.943,test
8,The Missing Boy,The Durutti Column,395160,uk post-punk,162.429,-10.501,0.815,0.556,11,0.848,0.811,test
9,Saigo-no Tejina,Hiroshi Sato,225226,classic city pop,144.907,-9.572,0.558,0.62,5,0.00447,0.731,test
10,M-16,Sodom,289133,"black thrash, death metal, deathrash, german metal, german thrash metal, metal, old school thrash, speed metal, thrash metal",140.902,-6.429,0.947,0.307,2,0.931,0.276,test
11,Polish Girl,Neon Indian,264000,"chillwave, denton tx indie, hypnagogic pop, indietronica, neo-synthpop",111.984,-4.255,0.873,0.622,9,1.25E-05,0.434,test
12,The Cuddler,Dance Gavin Dance,153400,"pixie, sacramento indie, screamo, swancore",140.981,-2.479,0.977,0.487,4,0,0.548,test
13,Homecoming,Kanye West,203493,"chicago rap, hip hop, rap",86.917,-7.059,0.747,0.667,1,0,0.918,test
14,Religiously,Bailey Zimmerman,178723,"contemporary country, modern country pop",140.924,-6.519,0.67,0.57,1,0,0.593,test
15,What A Wonderful World,Louis Armstrong,139226,"adult standards, dixieland, harlem renaissance, jazz trumpet, new orleans jazz, soul, swing, vocal jazz",77.082,-20.652,0.165,0.271,5,1.60E-06,0.203,test
16,Missing Sibling,Black Marble,103184,"chillwave, experimental pop, grave wave, nu gaze",142.055,-13.408,0.389,0.373,2,0.908,0.271,test
17,Blizzard Beasts,Immortal,169786,"black metal, metal, norwegian black metal, norwegian metal, pagan black metal, thrash metal",174.109,-7.904,0.972,0.13,1,0.9,0.0716,test
18,OH! TENGO SUERTE,Masayoshi Takanaka,252666,classic japanese jazz,93.555,-9.487,0.744,0.519,2,0.0526,0.408,test
19,As the Night Falls...,Këkht Aräkh,57990,ukrainian black metal,136.653,-26.004,0.0587,0.703,3,0.913,0.173,test
20,Elegy for the Memory of Me,Këkht Aräkh,214274,ukrainian black metal,141.901,-8.116,0.831,0.208,8,0.839,0.0392,test
21,Den Venstre Hånd På Den Høyre,Këkht Aräkh,146129,ukrainian black metal,137.899,-6.936,0.953,0.319,8,0.767,0.0372,test
22,Night,Këkht Aräkh,290745,ukrainian black metal,112.134,-32.448,0.0311,0.171,4,0.0401,0.0635,test
23,Her Body Strewn With Petals Black,Këkht Aräkh,249475,ukrainian black metal,140.053,-8.75,0.783,0.406,4,0.863,0.0358,test
24,Primal Beauty of Silence,Këkht Aräkh,134192,ukrainian black metal,141.814,-7.282,0.839,0.363,4,0.604,0.178,test
25,As the Wounds Gently Bleed,Këkht Aräkh,229903,ukrainian black metal,141.719,-8.08,0.879,0.372,0,0.882,0.0397,test
26,Love,Këkht Aräkh,313365,ukrainian black metal,143.853,-34.634,0.0408,0.241,9,0.92,0.112,test
27,Down to the Depths of Inner Cold,Këkht Aräkh,170475,ukrainian black metal,136.009,-7.251,0.891,0.414,9,0.686,0.26,test
28,Mysteriet Med Svartfiolett,Këkht Aräkh,84139,ukrainian black metal,105.109,-25.167,0.047,0.488,4,0.927,0.325,test
29,Through Night Which Knows No Dawn,Këkht Aräkh,250173,ukrainian black metal,141.893,-8.248,0.814,0.211,0,0.879,0.0455,test
30,Forever Night Castle of Love,Këkht Aräkh,223384,ukrainian black metal,115.058,-19.052,0.137,0.62,3,0.885,0.0718,test
31,...And Never Ends (Eternal Love),Këkht Aräkh,126692,ukrainian black metal,81.516,-31.756,0.0554,0.15,2,0.989,0.0396,test
32,Flooded The Face,Lil Uzi Vert,192727,"hip hop, melodic rap, philly rap, rage rap, rap",131.889,-7.714,0.609,0.64,1,2.47E-06,0.393,test
33,Suicide Doors,Lil Uzi Vert,259079,"hip hop, melodic rap, philly rap, rage rap, rap",75.388,-2.565,0.783,0.538,11,0,0.553,test
34,Aye (feat. Travis Scott),Lil Uzi Vert,207835,"hip hop, melodic rap, philly rap, rage rap, rap",111.998,-4.452,0.604,0.777,9,5.64E-05,0.121,test
35,Crush Em,Lil Uzi Vert,165589,"hip hop, melodic rap, philly rap, rage rap, rap",145.011,-5.564,0.797,0.613,7,0,0.336,test
36,Amped,Lil Uzi Vert,173061,"hip hop, melodic rap, philly rap, rage rap, rap",147.169,-5.078,0.699,0.534,7,8.21E-06,0.0555,test
37,x2,Lil Uzi Vert,234324,"hip hop, melodic rap, philly rap, rage rap, rap",148.054,-4.639,0.891,0.64,10,0,0.449,test
38,Died and Came Back,Lil Uzi Vert,180636,"hip hop, melodic rap, philly rap, rage rap, rap",132.098,-5.079,0.669,0.674,1,0,0.431,test
